"title","number"
"《山西省振兴工艺美术行业工作方案》解读","1"
"山西省人民政府办公厅关于印发山西省振兴工艺美术行业工作方案的通知","2"
"关于2020年太原市晋源区企业职工培训资金补贴的公示","3"
"太原市商务局关于对2020年现代服务业发展项目评审结果的公示","4"
"关于举办“2020山西太原人才智力交流大会”线上云招聘活动的通知","5"
"中华人民共和国工业和信息化部公告2020年第44号符合《印染行业规范条件（2017版）》企业名单","6"
"山西省农业农村厅办公室关于开展山西省农机使用一线“土专家” 遴选推荐活动的通知","7"
"关于转发山西省科技厅《关于组织申报山西省中试基地的预通知》的通知","8"
"关于征集疫情防控期间稳定市场保障供应有关项目的补充通知","9"
"关于征集疫情防控期间稳定市场保障供应有关项目的通知","10"
"关于疫情期间规上企业复产增效拟奖励企业名单的公示","11"
"关于组织申报山西省中试基地的预通知","12"
"关于印发《创新型产业集群评价指引（试行）》的通知","13"
"《国家工业节能技术装备推荐目录（2020）》、《“能效之星”产品目录（2020）》、《国家绿色数据中心先进适用技术产品目录（2020）》","14"
"文化和旅游部办公厅关于公布“中国杂技艺术创新工程”重点扶持作品名单的通知","15"
"山西转型综合改革示范区促进创新创业企业发展房租补贴实施办法","16"
"太原市第一零七批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","17"
"太原市第一零六批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","18"
"关于拟核定为2020年第二批国家火炬特色产业基地名单的公示","19"
"关于《太原市第二批参与战略性新兴产业电力市场化交易用电企业名单（规下）》审核结果公示","20"
"忻府区失业保险中心关于企业职工享受技能提升补贴的公示","21"
"吕梁市扶贫开发办公室关于对2020年度市级扶贫龙头企业和扶贫农民专业合作社拟定名单的公示","22"
"关于报送高层次和紧缺人才需求的通知","23"
"关于开展全省保障性安居工程配套基础设施2021年第一批中央预算内投资计划申报相关工作的通知","24"
"关于征集企业技术需求开展与上海专家对接活动的通知","25"
"大同市加快推进数字经济发展的实施方案和若干政策","26"
"第四批智慧健康养老应用试点示范名单公示","27"
"国家知识产权局办公室关于进一步提升企业知识产权管理体系贯标认证质量的通知","28"
"山西省农业机械发展中心关于举办全省农机安全技术检验培训班的通知","29"
"关于举办2020年山西省农机智库专家培训班的通知","30"
"省发改委印发《山西省创建特色产业集聚区总体方案》","31"
"关于征集2020年度省级服务型制造示范培育的通知","32"
"关于开展第二批省级制造业单项冠军征集工作的通知","33"
"关于开展2020年全国质量标杆福建行交流活动征集报名的通知","34"
"中共山西综改示范区工委关于印发山西转型综合改革示范区成立科学技术协会的通知","35"
"关于转发《太原市商务局关于组织申报连锁零售高质量发展项目的通知》的通知","36"
"关于开展长治市“十四五”规划建言献策活动的公告","37"
"科技部基础研究司关于组织开展2015年批准建设的企业国家重点实验室建设运行情况总结的通知","38"
"关于举办2020年全国科普讲解大赛决赛有关事宜通知","39"
"太原市“最美农技员”和“最受欢迎的特聘农技员”推选活动公示","40"
"关于开展区内规模以上工业企业紧缺工种工资补贴的通知","41"
"2020中国(太原)人工智能大会“5G+工业互联网”论坛在太原成功举办","42"
"中央财政力挺国家重点项目建设","43"
"关于做好全省企业资本市场直接融资奖励资金申报工作的通知 ","44"
"财政部 海关总署 税务总局关于因新冠肺炎疫情不可抗力出口退运货物税收规定的公告","45"
"关于开展2020年制造业与互联网融合发展试点示范项目申报的通知","46"
"关于举办智能制造与人工智能应用技术创新高级研修班的通知","47"
"关于批转《2020年度太原市社会科学研究系列初、中级职称评审工作安排意见》的通知","48"
"关于印发《全省农业机械报废更新补贴实施方案》的通知","49"
"山西省农业农村厅关于对纳入2021年中央预算内投资农业项目储备库名单（第一批）的公示","50"
"中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议","51"
"关于拨付2019、2020年山西百强创业实训基地第九、十、十一、十二、十三、十四、十五、十六期第二阶段实训补贴的公示","52"
"关于拨付2019、2020年山西百强创业实训基地第十五、十六期第一阶段实训补贴的公示","53"
"山西转型综改示范区政策兑现事项(2020年第十九批)审核结果公示","54"
"山西省商务厅关于2020年促进商贸流通业恢复增长第一期项目名单公示","55"
"工业和信息化部办公厅关于组织开展2020年工业互联网试点示范项目申报工作的通知","56"
"两部门关于进一步加强远程医疗网络能力建设的通知","57"
"工业和信息化部关于公布2020年度国家小型微型企业创业创新示范基地名单的通告","58"
"太原市晋源区2020年第一批科学技术项目名单公示","59"
"关于2020年太原市晋源区以工代训资金补贴的公示","60"
"山西省专利奖励委员会关于第二届山西省专利奖授奖的决定","61"
"阳泉市2020年第六批拟享受失业保险稳岗返还企业基本情况公示","62"
"关于购买“全市开发区干部能力提升培训”服务的结果公告","63"
"忻州市失业保险中心关于企业职工享受技能提升补贴的公示","64"
"关于推荐全国优秀农民工和农民工工作先进集体的公示","65"
"关于2020年第三季度高校毕业生就业见习生活补助审核情况公示","66"
"关于组织开展2020年制造业与互联网融合发展试点示范项目申报工作的通知","67"
"2021年度省级文化产业发展专项资金拟支持项目公示","68"
"国务院办公厅关于印发新能源汽车产业发展规划（2021—2035年）的通知","69"
"山西省商务厅关于2020年省供应链重点项目名单的公示","70"
"百亿基金+政策支持！太原大力扶持发展人工智能产业","71"
"山西省商务厅关于第129届广交会出口展展位申请及确认的通知","72"
"【临汾市】2020年度市级专利资助","73"
"临汾市市场监督管理局关于组织申报2020年度临汾市市级专利资助的通知","74"
"2020年晋中市商标品牌升级计划和促进高价值专利转化应用计划初审结果公示","75"
"中共太原市委关于深化人才发展体制机制改革加快推进创新驱动转型升级的实施意见","76"
"关于进一步深化小微企业金融服务缓解融资难融资贵的意见","77"
"关于强化实施创新驱动发展战略进一步推进大众创业万众创新深入发展的实施意见","78"
"山西转型综合改革示范区标准化奖励办法(试行)","79"
"关于批转《2020年度太原市农业系列初、中级职称评审工作安排意见》的通知","80"
"关于企业社会保险费交由税务部门征收的公告","81"
"太原市第一零五批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","82"
"太原市第一零四批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","83"
